Family,Genus,Species,Comun Name,Number of recordings
Thraupidae,Tangara,Tangara xanthocephala,Saffron-crownedTanager,24
Furnariidae,Metopothrix,Metopothrix aurantiaca,Orange-frontedPlushcrown,24
Pipridae,Pipra,Pipra filicauda,Wire-tailedManakin,24
Furnariidae,Cinclodes,Cinclodes albidiventris,Chestnut-wingedCinclodes,24
Pipridae,Xenopipo,Xenopipo atronitens,BlackManakin,24
Sapayoidae,Sapayoa,Sapayoa aenigma,Sapayoa,24
Tyrannidae,Serpophaga,Serpophaga hypoleuca,RiverTyrannulet,24
Tyrannidae,Platyrinchus,Platyrinchus flavigularis,Yellow-throatedSpadebill,24
Troglodytidae,Campylorhynchus,Campylorhynchus albobrunneus,White-headedWren,25
Tyrannidae,Elaenia,Elaenia ruficeps,Rufous-crownedElaenia,25
Tityridae,Tityra,Tityra inquisitor,Black-crownedTityra,25
Thamnophilidae,Phlegopsis,Phlegopsis erythroptera,Reddish-wingedBare-eye,25
Thamnophilidae,Ammonastes,Ammonastes pelzelni,Grey-belliedAntbird,25
Thraupidae,Ramphocelus,Ramphocelus flammigerus,Flame-rumpedTanager,25
Furnariidae,Certhiasomus,Certhiasomus stictolaemus,Spot-throatedWoodcreeper,25
Grallaridae,Grallaria,Grallaria alvarezi,ChamiAntpitta,25
Thraupidae,Anisognathus,Anisognathus notabilis,Black-chinnedMountainTanager,26
Thraupidae,Dacnis,Dacnis flaviventer,Yellow-belliedDacnis,26
Passerellidae,Atlapetes,Atlapetes leucopterus,White-wingedBrushfinch,26
Thraupidae,Parkerthraustes,Parkerthraustes humeralis,Yellow-shoulderedGrosbeak,26
Furnariidae,Cranioleuca,Cranioleuca subcristata,CrestedSpinetail,26
Tityridae,Schiffornis,Schiffornis stenorhyncha,Russet-wingedSchiffornis,26
Troglodytidae,Campylorhynchus,Campylorhynchus nuchalis,Stripe-backedWren,26
Tyrannidae,Ochthornis,Ochthornis littoralis,DrabWaterTyrant,26
Tyrannidae,Inezia,Inezia subflava,AmazonianInezia,26
Tyrannidae,Platyrinchus,Platyrinchus saturatus,Cinnamon-crestedSpadebill,27
Thamnophilidae,Myrmotherula,Myrmotherula surinamensis,GuiananStreakedAntwren,27
Furnariidae,Cinclodes,Cinclodes excelsior,Stout-billedCinclodes,27
Thraupidae,Saltator,Saltator orenocensis,OrinocoSaltator,27
Thraupidae,Bangsia,Bangsia edwardsi,Moss-backedTanager,27
Furnariidae,Lepidocolaptes,Lepidocolaptes fatimalimae,InambariWoodcreeper,27
Tyrannidae,Tolmomyias,Tolmomyias traylori,Orange-eyedFlatbill,27
Tyrannidae,Pyrocephalus,Pyrocephalus rubinus,ScarletFlycatcher,27
Tyrannidae,Rhynchocyclus,Rhynchocyclus brevirostris,Eye-ringedFlatbill,27
Thraupidae,Sporophila,Sporophila crassirostris,Large-billedSeedFinch,28
Thamnophilidae,Thamnophilus,Thamnophilus nigriceps,BlackAntshrike,28
Tyrannidae,Poecilotriccus,Poecilotriccus calopterus,Golden-wingedTody-Flycatcher,28
Tyrannidae,Mecocerculus,Mecocerculus minor,Sulphur-belliedTyrannulet,28
Fringilidae,Spinus,Spinus olivaceus,OlivaceousSiskin,28
Thraupidae,Sporophila,Sporophila bouvronides,Lesson'sSeedeater,28
Thamnophilidae,Myrmelastes,Myrmelastes humaythae,HumaitaAntbird,28
Thamnophilidae,Dysithamnus,Dysithamnus leucostictus,White-streakedAntvireo,28
Thraupidae,Diglossa,Diglossa brunneiventris,Black-throatedFlowerpiercer,28
Thamnophilidae,Euchrepomis,Euchrepomis humeralis,Chestnut-shoulderedAntwren,28
Tyrannidae,Inezia,Inezia tenuirostris,Slender-billedInezia,28
Passerellidae,Arremon,Arremon castaneiceps,OliveFinch,29
Tityridae,Iodopleura,Iodopleura isabellae,White-browedPurpletuft,29
Thraupidae,Chlorochrysa,Chlorochrysa phoenicotis,Glistening-greenTanager,29
Thraupidae,Sporophila,Sporophila intermedia,GreySeedeater,29
Fringilidae,Chlorophonia,Chlorophonia flavirostris,Yellow-collaredChlorophonia,29
Furnariidae,Clibanornis,Clibanornis rufipectus,SantaMartaFoliage-gleaner,29
Thamnophilidae,Myrmotherula,Myrmotherula ambigua,Yellow-throatedAntwren,29
Cotingidae,Snowornis,Snowornis subalaris,Grey-tailedPiha,29
Thraupidae,Cnemoscopus,Cnemoscopus rubrirostris,Grey-hoodedBushTanager,29
Tyrannidae,Inezia,Inezia caudata,Pale-tippedInezia,29
Thraupidae,Tangara,Tangara parzudakii,Flame-facedTanager,29
Rhinocryptidae,Scytalopus,Scytalopus canus,ParamilloTapaculo,29
Thraupidae,Ixothraupis,Ixothraupis punctata,SpottedTanager,30
Grallaridae,Grallaria,Grallaria dignissima,Ochre-stripedAntpitta,30
Thraupidae,Bangsia,Bangsia melanochlamys,Black-and-goldTanager,30
Thamnophilidae,Drymophila,Drymophila klagesi,Klages'sAntbird,30
Hirundinidae,Alopochelidon,Alopochelidon fucata,Tawny-headedSwallow,30
Thraupidae,Iridosornis,Iridosornis porphyrocephalus,Purplish-mantledTanager,30
Passerellidae,Atlapetes,Atlapetes fuscoolivaceus,Dusky-headedBrushfinch,30
Tyrannidae,Zimmerius,Zimmerius vilissimus,GuatemalanTyrannulet,30
